nom_departement,mean_prixm2,q1_prixm2,q3_prixm2
Ain,2235.777587380683,1662.166666666665,2653.85815602837
Aisne,1289.5924157723155,986.5,1540.66666666667
Allier,1125.0988388532376,886.8750000000002,1298.1964285714275
Alpes-Maritimes,3366.643301523463,2009.9545454545425,4508.41944864488
Alpes-de-Haute-Provence,2106.6239748258795,1713.25,2410.0
Ardennes,1169.774546700905,908.416666666667,1415.86666666667
Ardèche,1966.5493527123426,1489.7,2306.875
Ariège,1465.386425702462,1105.84615384615,1703.09090909091
Aube,1346.6038479391784,1039.5,1614.5
Aude,1515.9324436641264,1149.1,1761.045454545455
Aveyron,1385.3211749738368,1099.633333333335,1630.84705882353
Bouches-du-Rhône,3949.106583409686,3286.208928571428,4404.1122807017555
Calvados,2063.042982200462,1539.53409090909,2460.36363636364
Cantal,1265.4081078163654,958.2000000000003,1521.5353260869576
Charente,1251.8991537408779,1022.937908496735,1450.1875
Charente-Maritime,1892.063785990988,1268.43235294118,2093.3934729064076
Cher,1160.5029524484482,899.5833333333333,1326.791666666665
Corrèze,1337.1349626786573,1100.8578947368424,1537.0
Corse-du-Sud,2991.730811143356,1579.25,4063.90909090909
Creuse,911.2872567358332,744.1041666666665,1020.125
Côte-d'Or,1538.0546986659667,1052.25,1944.930555555555
Côtes-d'Armor,1669.3014592424504,1199.01550387597,1981.9333333333352
Deux-Sèvres,1159.3711705882351,981.865375,1335.42525
Dordogne,1584.36270173168,1311.92307692308,1800.0
Doubs,1816.5295572212997,1413.0,2171.6
Drôme,2227.1291541140695,1840.9,2577.199074074075
Essonne,3262.8751893203885,2807.92475,3656.62525
Eure,1899.5703040324456,1659.47368421053,2087.3499999999976
Eure-et-Loir,1779.289837669619,1413.5833333333348,2089.1607142857147
Finistère,1812.2682601386607,1422.8772727272749,2157.75365497076
Gard,2257.8311862961973,1907.7719298245602,2568.0555555555525
Gers,1556.6534828329793,1196.0,1812.6666666666652
Gironde,2302.79236619522,1614.0833333333326,2742.625
Haut-Rhin,1500.0,1500.0,1500.0
Haute-Corse,2640.9503782011816,1673.0,3178.28125
Haute-Garonne,2055.2376028319436,1484.5277777777774,2603.405
Haute-Loire,1219.6311999999998,902.6041749999999,1484.99775
Haute-Marne,976.3145982051282,733.25,1155.74975
Haute-Savoie,3934.983419871795,3232.87475,4374.728999999999
Haute-Saône,1205.154839148073,846.2,1427.0
Haute-Vienne,1251.4709230392157,1024.5125,1463.6727500000002
Hautes-Alpes,2229.661952969286,1574.7771739130449,2583.0
Hautes-Pyrénées,1628.5272898734177,1265.137,1911.75
Hauts-de-Seine,6786.488292682927,5968.657,7483.084
Hérault,2413.042067903613,1757.1216006216025,3154.389184397165
Ille-et-Vilaine,1978.9391072940518,1487.1549145299125,2258.4022727272727
Indre,1039.5163329881,842.1666666666665,1176.3333333333348
Indre-et-Loire,1723.2958978192303,1327.7,2092.71428571429
Isère,2436.6896180250724,1958.7642500000002,2859.5682500000003
Jura,1501.125963,1177.7250000000001,1689.0
Landes,1997.9513636363636,1505.25,2275.7615
Loir-et-Cher,1384.138063768116,1180.917,1604.128
Loire,1705.713004204204,1313.667,2078.886
Loire-Atlantique,2471.561902745098,1861.5725,2935.536
Loiret,1642.3539014619882,1389.525,1860.9
Lot,1629.859706031746,1361.5835,1791.5
Lot-et-Garonne,1514.7872503205128,1272.00025,1718.8125
Lozère,1565.0074955128205,1186.93625,1742.279
Maine-et-Loire,1750.4001717105264,1416.8645000000001,1963.725
Manche,1558.6329413602941,1199.28325,1803.125
Marne,1546.1824617375232,1126.0,1880.0
Mayenne,1255.24943828125,1034.36925,1380.31025
Meurthe-et-Moselle,1467.4248994545455,1097.3375,1779.15
Meuse,1026.5535889121338,769.477275,1207.6667499999999
Morbihan,2070.5742540540537,1287.644,2458.0924999999997
Moselle,2786.0,2786.0,2786.0
Nièvre,1033.504487898089,826.625,1211.58625
Nord,1827.7165776627219,1337.4785000000002,2204.422
Oise,2068.643454354354,1621.4375,2431.169
Orne,1375.8736932461875,1124.373,1552.8335
Pas-de-Calais,1615.8674445093457,1295.0,1843.0625
Puy-de-Dôme,1429.888427027027,985.988125,1869.478
Pyrénées-Atlantiques,1888.8800760479041,1397.0,2104.0
Pyrénées-Orientales,1957.9949640552995,1476.0,2352.714
Rhône,2954.3013900641026,2169.22875,3681.0285000000003
Sarthe,1335.184566573816,1084.5475000000001,1530.7735
Savoie,2941.48787012987,2119.66525,3477.76875
Saône-et-Loire,1466.7476918118466,1191.08475,1695.16075
Seine-Maritime,1856.205126514132,1591.107,2088.1885
Seine-Saint-Denis,4207.490195121951,3311.311,4461.79
Seine-et-Marne,2635.5908979591836,1969.5335,3163.6785
Somme,1460.465703091398,1149.38125,1707.333
Tarn,1634.3843688356164,1259.0,2007.35
Tarn-et-Garonne,1644.9600912568305,1370.8785,1891.511
Territoire de Belfort,1704.7326414893616,1477.812,1907.6875
Val-d'Oise,3356.2355159574468,2994.51775,3645.5167500000002
Val-de-Marne,4918.896176470588,3767.8715,6025.591
Var,3543.2760923913042,2654.375,4048.85
Vaucluse,3121.845346666667,2448.6105000000002,3526.818
Vendée,1820.764662020906,1401.3335,2073.1745
Vienne,1230.351865140845,1001.5,1442.3332500000001
Vosges,1143.7337153846154,821.0,1394.769
Yonne,1279.9415975663717,1031.484,1456.0832500000001
Yvelines,3516.85119133574,2808.901,4008.104
Martinique,2738.56,1954.0,3132.0
Guadeloupe,3283.41,2685.0,3922.0
La Réunion,2771.48,2154.0,3238.0
Guyane,2433.11,2139.0,2574.0
