nom_departement,Total_Mutations
Ain,12389
Aisne,8306
Allier,5781
Alpes-Maritimes,89481
Alpes-de-Haute-Provence,3949
Ardennes,3821
Ardèche,2135
Ariège,3392
Aube,5548
Aude,17545
Aveyron,5400
Bouches-du-Rhône,40164
Calvados,23509
Cantal,2585
Charente,6829
Charente-Maritime,21784
Cher,5163
Corrèze,4235
Corse-du-Sud,4582
Creuse,2220
Côte-d'Or,8739
Côtes-d'Armor,20240
Deux-Sèvres,16678
Dordogne,9312
Doubs,8204
Drôme,8767
Essonne,19873
Eure,15858
Eure-et-Loir,8645
Finistère,18104
Gard,20794
Gers,3594
Gironde,55058
Haut-Rhin,1
Haute-Corse,3396
Haute-Garonne,70721
Haute-Loire,2880
Haute-Marne,3523
Haute-Savoie,19899
Haute-Saône,3459
Haute-Vienne,15756
Hautes-Alpes,4646
Hautes-Pyrénées,5742
Hauts-de-Seine,24506
Hérault,46727
Ille-et-Vilaine,31417
Indre,3636
Indre-et-Loire,13278
Isère,21315
Jura,5759
Landes,9503
Loir-et-Cher,6351
Loire,28419
Loire-Atlantique,54340
Loiret,17083
Lot,3415
Lot-et-Garonne,5740
Lozère,1253
Maine-et-Loire,42380
Manche,16220
Marne,10115
Mayenne,5962
Meurthe-et-Moselle,15287
Meuse,3081
Morbihan,14210
Moselle,1
Nièvre,4148
Nord,71212
Oise,12305
Orne,8953
Pas-de-Calais,21212
Puy-de-Dôme,7007
Pyrénées-Atlantiques,12628
Pyrénées-Orientales,10274
Rhône,21501
Sarthe,13070
Savoie,14234
Saône-et-Loire,11786
Seine-Maritime,33435
Seine-Saint-Denis,17025
Seine-et-Marne,24870
Somme,13119
Tarn,4637
Tarn-et-Garonne,4197
Territoire de Belfort,1816
Val-d'Oise,19522
Val-de-Marne,19913
Var,56952
Vaucluse,11342
Vendée,18136
Vienne,8370
Vosges,5894
Yonne,9505
Yvelines,24785
Martinique,3385
Guadeloupe,3902
La Réunion,14128
Guyane,1376
